cohort,condition,attractor,n_pairs,hamming,null_mean,null_std,z_score,p_value
PRECISESADS,Naive (homeostatic),A1,91,0.8352,0.8307,0.0179,0.249,0.8211
PRECISESADS,Naive (homeostatic),A2,91,0.8791,0.8848,0.0105,-0.542,0.7591
PRECISESADS,IFN-stimulated,A1,91,0.2747,0.3506,0.0276,-2.744,0.0136
PRECISESADS,BCR-stimulated,A1,91,0.8132,0.8125,0.0198,0.036,0.749
PRECISESADS,BCR-stimulated,A2,91,0.8571,0.8669,0.0137,-0.714,0.6217
UKPSSR,Naive (homeostatic),A1,28,0.75,0.7758,0.0383,-0.674,0.6671
UKPSSR,Naive (homeostatic),A2,28,0.75,0.776,0.0384,-0.677,0.6649
UKPSSR,IFN-stimulated,A1,28,0.25,0.4557,0.0724,-2.84,0.0071
UKPSSR,BCR-stimulated,A1,28,0.75,0.7752,0.0377,-0.67,0.6717
UKPSSR,BCR-stimulated,A2,28,0.75,0.7754,0.0382,-0.666,0.6723
GSE51092,Naive (homeostatic),A1,93,0.7742,0.7449,0.0238,1.233,0.9442
GSE51092,Naive (homeostatic),A2,93,0.7742,0.7832,0.0123,-0.727,0.6259
GSE51092,IFN-stimulated,A1,93,0.3333,0.4589,0.0417,-3.014,0.0033
GSE51092,BCR-stimulated,A1,93,0.7957,0.7323,0.026,2.439,0.9949
GSE51092,BCR-stimulated,A2,93,0.7849,0.7642,0.0191,1.086,0.9407
ASSESS,Naive (homeostatic),A1,47,0.5106,0.4898,0.0213,0.978,1.0
ASSESS,Naive (homeostatic),A2,47,0.4894,0.4894,0.0,-1.043,1.0
ASSESS,IFN-stimulated,A1,47,0.4894,0.4933,0.0603,-0.066,0.6162
ASSESS,BCR-stimulated,A1,47,0.5319,0.4912,0.0413,0.985,0.9388
ASSESS,BCR-stimulated,A2,47,0.5106,0.491,0.0361,0.543,0.8718
GSE23117,Naive (homeostatic),A1,28,0.8929,0.8364,0.0305,1.851,0.9917
GSE23117,Naive (homeostatic),A2,28,0.8929,0.898,0.0184,-0.278,0.9282
GSE23117,IFN-stimulated,A1,28,0.3929,0.4075,0.0485,-0.302,0.6461
GSE23117,BCR-stimulated,A1,28,0.8929,0.8367,0.0304,1.849,0.9933
GSE23117,BCR-stimulated,A2,28,0.8929,0.8981,0.0187,-0.283,0.926
