cohort,condition,attractor,n_pairs,tp,tn,fp,fn,sensitivity,specificity,ppv,npv,balanced_acc,auroc
PRECISESADS,Naive (homeostatic),A1,91,8,7,1,75,0.096,0.875,0.889,0.085,0.486,0.718
PRECISESADS,Naive (homeostatic),A2,91,3,8,0,80,0.036,1.0,1.0,0.091,0.518,0.718
PRECISESADS,IFN-stimulated,A1,91,60,6,2,23,0.723,0.75,0.968,0.207,0.736,0.718
PRECISESADS,BCR-stimulated,A1,91,10,7,1,73,0.12,0.875,0.909,0.087,0.498,0.718
PRECISESADS,BCR-stimulated,A2,91,5,8,0,78,0.06,1.0,1.0,0.093,0.53,0.718
UKPSSR,Naive (homeostatic),A1,28,2,5,0,21,0.087,1.0,1.0,0.192,0.543,0.848
UKPSSR,Naive (homeostatic),A2,28,2,5,0,21,0.087,1.0,1.0,0.192,0.543,0.848
UKPSSR,IFN-stimulated,A1,28,16,5,0,7,0.696,1.0,1.0,0.417,0.848,0.848
UKPSSR,BCR-stimulated,A1,28,2,5,0,21,0.087,1.0,1.0,0.192,0.543,0.848
UKPSSR,BCR-stimulated,A2,28,2,5,0,21,0.087,1.0,1.0,0.192,0.543,0.848
GSE51092,Naive (homeostatic),A1,93,5,16,3,69,0.068,0.842,0.625,0.188,0.455,0.574
GSE51092,Naive (homeostatic),A2,93,2,19,0,72,0.027,1.0,1.0,0.209,0.514,0.574
GSE51092,IFN-stimulated,A1,93,48,14,5,26,0.649,0.737,0.906,0.35,0.693,0.574
GSE51092,BCR-stimulated,A1,93,5,14,5,69,0.068,0.737,0.5,0.169,0.402,0.574
GSE51092,BCR-stimulated,A2,93,3,17,2,71,0.041,0.895,0.6,0.193,0.468,0.574
ASSESS,Naive (homeostatic),A1,47,0,23,1,23,0.0,0.958,0.0,0.5,0.479,0.474
ASSESS,Naive (homeostatic),A2,47,0,24,0,23,0.0,1.0,0.0,0.511,0.5,0.474
ASSESS,IFN-stimulated,A1,47,5,19,5,18,0.217,0.792,0.5,0.514,0.505,0.474
ASSESS,BCR-stimulated,A1,47,1,21,3,22,0.043,0.875,0.25,0.488,0.459,0.474
ASSESS,BCR-stimulated,A2,47,1,22,2,22,0.043,0.917,0.333,0.5,0.48,0.474
GSE23117,Naive (homeostatic),A1,28,2,1,1,24,0.077,0.5,0.667,0.04,0.288,0.433
GSE23117,Naive (homeostatic),A2,28,1,2,0,25,0.038,1.0,1.0,0.074,0.519,0.433
GSE23117,IFN-stimulated,A1,28,16,1,1,10,0.615,0.5,0.941,0.091,0.558,0.433
GSE23117,BCR-stimulated,A1,28,2,1,1,24,0.077,0.5,0.667,0.04,0.288,0.433
GSE23117,BCR-stimulated,A2,28,1,2,0,25,0.038,1.0,1.0,0.074,0.519,0.433
